[03/16/2021 20:00:19] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:00:29] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.859 M
[03/16/2021 20:00:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.6, FR training L2 loss 58103.63, FR validation L2 loss 1869.20, FNR 94.40 %
[03/16/2021 20:56:38] {complexTrain.py:233} INFO - Epochs: 13 / 410, Time: 96.0, FR training L2 loss 25.76, FR validation L2 loss 29.70, FNR 25.47 %
[03/16/2021 20:58:15] {complexTrain.py:233} INFO - Epochs: 14 / 410, Time: 96.2, FR training L2 loss 25.48, FR validation L2 loss 29.83, FNR 26.13 %
[03/16/2021 20:59:51] {complexTrain.py:233} INFO - Epochs: 15 / 410, Time: 96.5, FR training L2 loss 25.22, FR validation L2 loss 29.99, FNR 25.96 %
[03/16/2021 21:01:27] {complexTrain.py:233} INFO - Epochs: 16 / 410, Time: 96.0, FR training L2 loss 25.10, FR validation L2 loss 30.29, FNR 26.38 %
[03/16/2021 21:03:03] {complexTrain.py:233} INFO - Epochs: 17 / 410, Time: 96.5, FR training L2 loss 24.81, FR validation L2 loss 30.24, FNR 26.29 %
[03/16/2021 21:04:41] {complexTrain.py:233} INFO - Epochs: 18 / 410, Time: 97.1, FR training L2 loss 24.61, FR validation L2 loss 29.92, FNR 26.19 %
[03/16/2021 21:06:17] {complexTrain.py:233} INFO - Epochs: 19 / 410, Time: 96.9, FR training L2 loss 24.45, FR validation L2 loss 30.20, FNR 25.96 %
[03/16/2021 21:07:55] {complexTrain.py:233} INFO - Epochs: 20 / 410, Time: 97.3, FR training L2 loss 23.27, FR validation L2 loss 30.24, FNR 25.60 %
[03/16/2021 21:09:32] {complexTrain.py:233} INFO - Epochs: 21 / 410, Time: 97.7, FR training L2 loss 22.81, FR validation L2 loss 30.32, FNR 25.16 %
[03/16/2021 21:11:10] {complexTrain.py:233} INFO - Epochs: 22 / 410, Time: 97.4, FR training L2 loss 22.61, FR validation L2 loss 30.71, FNR 25.72 %
[03/16/2021 21:12:47] {complexTrain.py:233} INFO - Epochs: 23 / 410, Time: 97.3, FR training L2 loss 22.45, FR validation L2 loss 30.85, FNR 25.44 %
[03/16/2021 21:14:24] {complexTrain.py:233} INFO - Epochs: 24 / 410, Time: 96.8, FR training L2 loss 22.25, FR validation L2 loss 30.65, FNR 25.01 %
[03/16/2021 21:16:01] {complexTrain.py:233} INFO - Epochs: 25 / 410, Time: 96.8, FR training L2 loss 22.02, FR validation L2 loss 30.95, FNR 25.02 %
[03/16/2021 21:17:38] {complexTrain.py:233} INFO - Epochs: 26 / 410, Time: 97.7, FR training L2 loss 21.95, FR validation L2 loss 30.96, FNR 25.77 %
[03/16/2021 21:19:16] {complexTrain.py:233} INFO - Epochs: 27 / 410, Time: 97.3, FR training L2 loss 21.99, FR validation L2 loss 30.91, FNR 25.60 %
[03/16/2021 21:20:53] {complexTrain.py:233} INFO - Epochs: 28 / 410, Time: 97.2, FR training L2 loss 21.23, FR validation L2 loss 31.08, FNR 25.24 %
[03/16/2021 21:22:30] {complexTrain.py:233} INFO - Epochs: 29 / 410, Time: 97.1, FR training L2 loss 21.14, FR validation L2 loss 31.32, FNR 25.68 %
[03/16/2021 21:24:07] {complexTrain.py:233} INFO - Epochs: 30 / 410, Time: 97.2, FR training L2 loss 20.94, FR validation L2 loss 31.55, FNR 25.45 %
[03/16/2021 21:25:44] {complexTrain.py:233} INFO - Epochs: 31 / 410, Time: 97.1, FR training L2 loss 20.91, FR validation L2 loss 31.55, FNR 25.59 %
[03/16/2021 21:27:22] {complexTrain.py:233} INFO - Epochs: 32 / 410, Time: 97.4, FR training L2 loss 20.94, FR validation L2 loss 31.87, FNR 25.40 %
[03/16/2021 21:28:59] {complexTrain.py:233} INFO - Epochs: 33 / 410, Time: 97.0, FR training L2 loss 20.71, FR validation L2 loss 31.55, FNR 25.99 %
[03/16/2021 21:30:36] {complexTrain.py:233} INFO - Epochs: 34 / 410, Time: 96.8, FR training L2 loss 20.54, FR validation L2 loss 31.86, FNR 25.70 %
[03/16/2021 21:32:14] {complexTrain.py:233} INFO - Epochs: 35 / 410, Time: 97.9, FR training L2 loss 20.54, FR validation L2 loss 31.68, FNR 25.73 %
[03/16/2021 21:33:50] {complexTrain.py:233} INFO - Epochs: 36 / 410, Time: 96.5, FR training L2 loss 20.43, FR validation L2 loss 31.72, FNR 25.81 %
[03/16/2021 21:35:27] {complexTrain.py:233} INFO - Epochs: 37 / 410, Time: 96.5, FR training L2 loss 20.07, FR validation L2 loss 32.02, FNR 25.72 %
[03/16/2021 21:37:03] {complexTrain.py:233} INFO - Epochs: 38 / 410, Time: 96.5, FR training L2 loss 20.17, FR validation L2 loss 31.86, FNR 25.68 %
[03/16/2021 21:38:39] {complexTrain.py:233} INFO - Epochs: 39 / 410, Time: 96.3, FR training L2 loss 20.23, FR validation L2 loss 32.20, FNR 25.85 %
[03/16/2021 21:40:16] {complexTrain.py:233} INFO - Epochs: 40 / 410, Time: 96.3, FR training L2 loss 20.08, FR validation L2 loss 32.33, FNR 26.00 %
[03/16/2021 21:41:52] {complexTrain.py:233} INFO - Epochs: 41 / 410, Time: 96.3, FR training L2 loss 20.00, FR validation L2 loss 32.38, FNR 25.64 %
[03/16/2021 21:43:28] {complexTrain.py:233} INFO - Epochs: 42 / 410, Time: 95.8, FR training L2 loss 19.96, FR validation L2 loss 32.24, FNR 25.67 %
[03/16/2021 21:45:04] {complexTrain.py:233} INFO - Epochs: 43 / 410, Time: 95.9, FR training L2 loss 20.06, FR validation L2 loss 32.50, FNR 25.94 %
[03/16/2021 21:46:41] {complexTrain.py:233} INFO - Epochs: 44 / 410, Time: 97.6, FR training L2 loss 19.89, FR validation L2 loss 32.20, FNR 26.01 %
[03/16/2021 21:48:21] {complexTrain.py:233} INFO - Epochs: 45 / 410, Time: 99.3, FR training L2 loss 19.70, FR validation L2 loss 32.48, FNR 25.73 %
[03/16/2021 21:50:00] {complexTrain.py:233} INFO - Epochs: 46 / 410, Time: 99.7, FR training L2 loss 19.74, FR validation L2 loss 32.39, FNR 25.86 %
[03/16/2021 21:51:39] {complexTrain.py:233} INFO - Epochs: 47 / 410, Time: 98.4, FR training L2 loss 19.75, FR validation L2 loss 32.44, FNR 25.77 %
[03/16/2021 21:52:17] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 21:52:28] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.282 M
[03/16/2021 21:52:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 5.4, FR training L2 loss 12385.22, FR validation L2 loss 822.90, FNR 95.14 %
[03/16/2021 21:52:36] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 2.6, FR training L2 loss 1423.27, FR validation L2 loss 508.42, FNR 95.09 %
[03/16/2021 21:52:38] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 2.7, FR training L2 loss 942.32, FR validation L2 loss 425.85, FNR 94.75 %
[03/16/2021 21:52:41] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 2.6, FR training L2 loss 760.35, FR validation L2 loss 281.51, FNR 94.99 %
[03/16/2021 21:52:44] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 2.7, FR training L2 loss 423.05, FR validation L2 loss 265.28, FNR 94.67 %
[03/16/2021 21:52:47] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 21:53:20] {complexTrain.py:233} INFO - Epochs: 48 / 410, Time: 101.4, FR training L2 loss 19.71, FR validation L2 loss 32.36, FNR 25.88 %
[03/16/2021 21:56:22] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.282 M
[03/16/2021 21:57:42] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 80.3, FR training L2 loss 403.29, FR validation L2 loss 39.50, FNR 59.71 %
[03/16/2021 21:59:00] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 77.9, FR training L2 loss 34.15, FR validation L2 loss 32.54, FNR 35.73 %
[03/16/2021 22:00:18] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 78.1, FR training L2 loss 31.18, FR validation L2 loss 31.29, FNR 32.15 %
[03/16/2021 22:01:36] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 78.1, FR training L2 loss 30.14, FR validation L2 loss 30.65, FNR 30.14 %
[03/16/2021 22:02:54] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 77.6, FR training L2 loss 29.44, FR validation L2 loss 30.19, FNR 28.56 %
[03/16/2021 22:04:12] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 78.1, FR training L2 loss 28.87, FR validation L2 loss 29.64, FNR 27.31 %
[03/16/2021 22:05:30] {complexTrain.py:233} INFO - Epochs: 7 / 410, Time: 78.1, FR training L2 loss 28.45, FR validation L2 loss 29.69, FNR 28.15 %
[03/16/2021 22:06:48] {complexTrain.py:233} INFO - Epochs: 8 / 410, Time: 78.0, FR training L2 loss 28.11, FR validation L2 loss 29.65, FNR 27.05 %
[03/16/2021 22:08:06] {complexTrain.py:233} INFO - Epochs: 9 / 410, Time: 78.2, FR training L2 loss 27.82, FR validation L2 loss 28.73, FNR 26.33 %
[03/16/2021 22:09:24] {complexTrain.py:233} INFO - Epochs: 10 / 410, Time: 78.3, FR training L2 loss 27.53, FR validation L2 loss 28.83, FNR 26.27 %
[03/16/2021 22:10:42] {complexTrain.py:233} INFO - Epochs: 11 / 410, Time: 77.9, FR training L2 loss 27.22, FR validation L2 loss 28.52, FNR 25.99 %
[03/16/2021 22:12:00] {complexTrain.py:233} INFO - Epochs: 12 / 410, Time: 78.2, FR training L2 loss 27.08, FR validation L2 loss 28.43, FNR 26.70 %
[03/16/2021 22:13:19] {complexTrain.py:233} INFO - Epochs: 13 / 410, Time: 78.2, FR training L2 loss 26.99, FR validation L2 loss 28.27, FNR 26.14 %
[03/16/2021 22:14:36] {complexTrain.py:233} INFO - Epochs: 14 / 410, Time: 77.9, FR training L2 loss 26.74, FR validation L2 loss 28.49, FNR 25.67 %
[03/16/2021 22:15:55] {complexTrain.py:233} INFO - Epochs: 15 / 410, Time: 78.1, FR training L2 loss 26.71, FR validation L2 loss 28.29, FNR 25.10 %
[03/16/2021 22:17:13] {complexTrain.py:233} INFO - Epochs: 16 / 410, Time: 78.1, FR training L2 loss 26.50, FR validation L2 loss 28.09, FNR 25.09 %
[03/16/2021 22:18:31] {complexTrain.py:233} INFO - Epochs: 17 / 410, Time: 78.0, FR training L2 loss 26.37, FR validation L2 loss 27.76, FNR 24.83 %
[03/16/2021 22:19:49] {complexTrain.py:233} INFO - Epochs: 18 / 410, Time: 78.4, FR training L2 loss 26.32, FR validation L2 loss 28.18, FNR 25.68 %
[03/16/2021 22:21:07] {complexTrain.py:233} INFO - Epochs: 19 / 410, Time: 78.2, FR training L2 loss 26.18, FR validation L2 loss 28.08, FNR 25.50 %
[03/16/2021 22:22:25] {complexTrain.py:233} INFO - Epochs: 20 / 410, Time: 77.8, FR training L2 loss 26.03, FR validation L2 loss 27.62, FNR 25.06 %
[03/16/2021 22:23:43] {complexTrain.py:233} INFO - Epochs: 21 / 410, Time: 78.3, FR training L2 loss 25.94, FR validation L2 loss 27.96, FNR 24.70 %
[03/16/2021 22:25:01] {complexTrain.py:233} INFO - Epochs: 22 / 410, Time: 77.9, FR training L2 loss 25.84, FR validation L2 loss 27.89, FNR 25.54 %
[03/16/2021 22:26:19] {complexTrain.py:233} INFO - Epochs: 23 / 410, Time: 78.1, FR training L2 loss 25.76, FR validation L2 loss 27.64, FNR 24.84 %
[03/16/2021 22:27:37] {complexTrain.py:233} INFO - Epochs: 24 / 410, Time: 78.0, FR training L2 loss 25.67, FR validation L2 loss 27.53, FNR 24.50 %
[03/16/2021 22:28:55] {complexTrain.py:233} INFO - Epochs: 25 / 410, Time: 77.8, FR training L2 loss 25.70, FR validation L2 loss 27.58, FNR 24.66 %
[03/16/2021 22:30:13] {complexTrain.py:233} INFO - Epochs: 26 / 410, Time: 77.9, FR training L2 loss 25.60, FR validation L2 loss 27.64, FNR 24.26 %
[03/16/2021 22:31:31] {complexTrain.py:233} INFO - Epochs: 27 / 410, Time: 78.2, FR training L2 loss 25.50, FR validation L2 loss 27.55, FNR 24.80 %
[03/16/2021 22:32:49] {complexTrain.py:233} INFO - Epochs: 28 / 410, Time: 77.8, FR training L2 loss 25.50, FR validation L2 loss 27.58, FNR 24.45 %
[03/16/2021 22:34:07] {complexTrain.py:233} INFO - Epochs: 29 / 410, Time: 77.5, FR training L2 loss 25.26, FR validation L2 loss 27.65, FNR 24.80 %
[03/16/2021 22:35:24] {complexTrain.py:233} INFO - Epochs: 30 / 410, Time: 77.6, FR training L2 loss 25.25, FR validation L2 loss 27.55, FNR 24.92 %
[03/16/2021 22:36:42] {complexTrain.py:233} INFO - Epochs: 31 / 410, Time: 77.9, FR training L2 loss 25.19, FR validation L2 loss 27.72, FNR 24.67 %
[03/16/2021 22:38:00] {complexTrain.py:233} INFO - Epochs: 32 / 410, Time: 77.7, FR training L2 loss 25.19, FR validation L2 loss 27.86, FNR 24.96 %
[03/16/2021 22:39:17] {complexTrain.py:233} INFO - Epochs: 33 / 410, Time: 77.6, FR training L2 loss 24.44, FR validation L2 loss 26.92, FNR 23.81 %
[03/16/2021 22:40:35] {complexTrain.py:233} INFO - Epochs: 34 / 410, Time: 77.7, FR training L2 loss 24.28, FR validation L2 loss 26.92, FNR 23.64 %
[03/16/2021 22:41:53] {complexTrain.py:233} INFO - Epochs: 35 / 410, Time: 77.5, FR training L2 loss 24.06, FR validation L2 loss 26.89, FNR 23.29 %
[03/16/2021 22:43:10] {complexTrain.py:233} INFO - Epochs: 36 / 410, Time: 77.3, FR training L2 loss 24.11, FR validation L2 loss 26.80, FNR 23.39 %
[03/16/2021 22:44:27] {complexTrain.py:233} INFO - Epochs: 37 / 410, Time: 77.5, FR training L2 loss 24.07, FR validation L2 loss 26.85, FNR 22.81 %
[03/16/2021 22:45:45] {complexTrain.py:233} INFO - Epochs: 38 / 410, Time: 77.8, FR training L2 loss 24.02, FR validation L2 loss 27.16, FNR 23.51 %
[03/16/2021 22:47:03] {complexTrain.py:233} INFO - Epochs: 39 / 410, Time: 77.5, FR training L2 loss 23.90, FR validation L2 loss 26.86, FNR 23.72 %
[03/16/2021 22:48:20] {complexTrain.py:233} INFO - Epochs: 40 / 410, Time: 77.4, FR training L2 loss 23.91, FR validation L2 loss 27.11, FNR 23.61 %
[03/16/2021 22:49:38] {complexTrain.py:233} INFO - Epochs: 41 / 410, Time: 77.5, FR training L2 loss 23.96, FR validation L2 loss 27.06, FNR 23.42 %
[03/16/2021 22:50:55] {complexTrain.py:233} INFO - Epochs: 42 / 410, Time: 77.7, FR training L2 loss 23.88, FR validation L2 loss 26.79, FNR 23.50 %
[03/16/2021 22:52:13] {complexTrain.py:233} INFO - Epochs: 43 / 410, Time: 77.7, FR training L2 loss 23.92, FR validation L2 loss 26.81, FNR 23.34 %
[03/16/2021 22:53:31] {complexTrain.py:233} INFO - Epochs: 44 / 410, Time: 77.7, FR training L2 loss 23.76, FR validation L2 loss 26.79, FNR 23.11 %
[03/16/2021 22:54:48] {complexTrain.py:233} INFO - Epochs: 45 / 410, Time: 77.7, FR training L2 loss 23.84, FR validation L2 loss 26.78, FNR 22.83 %
[03/16/2021 22:56:06] {complexTrain.py:233} INFO - Epochs: 46 / 410, Time: 77.7, FR training L2 loss 23.67, FR validation L2 loss 27.42, FNR 23.98 %
[03/16/2021 22:57:24] {complexTrain.py:233} INFO - Epochs: 47 / 410, Time: 77.5, FR training L2 loss 23.67, FR validation L2 loss 26.75, FNR 23.19 %
[03/16/2021 22:58:41] {complexTrain.py:233} INFO - Epochs: 48 / 410, Time: 77.7, FR training L2 loss 23.74, FR validation L2 loss 26.87, FNR 23.23 %
[03/16/2021 22:59:59] {complexTrain.py:233} INFO - Epochs: 49 / 410, Time: 78.0, FR training L2 loss 23.69, FR validation L2 loss 26.69, FNR 22.66 %
[03/16/2021 23:01:18] {complexTrain.py:233} INFO - Epochs: 50 / 410, Time: 78.3, FR training L2 loss 23.63, FR validation L2 loss 26.82, FNR 22.91 %
[03/16/2021 23:02:36] {complexTrain.py:233} INFO - Epochs: 51 / 410, Time: 78.4, FR training L2 loss 23.59, FR validation L2 loss 26.97, FNR 22.90 %
[03/16/2021 23:03:55] {complexTrain.py:233} INFO - Epochs: 52 / 410, Time: 78.3, FR training L2 loss 23.67, FR validation L2 loss 26.90, FNR 23.61 %
[03/16/2021 23:05:13] {complexTrain.py:233} INFO - Epochs: 53 / 410, Time: 78.1, FR training L2 loss 23.60, FR validation L2 loss 26.92, FNR 22.97 %
[03/16/2021 23:06:31] {complexTrain.py:233} INFO - Epochs: 54 / 410, Time: 78.4, FR training L2 loss 23.57, FR validation L2 loss 26.92, FNR 22.79 %
[03/16/2021 23:07:50] {complexTrain.py:233} INFO - Epochs: 55 / 410, Time: 78.6, FR training L2 loss 23.57, FR validation L2 loss 26.76, FNR 23.51 %
[03/16/2021 23:09:08] {complexTrain.py:233} INFO - Epochs: 56 / 410, Time: 78.7, FR training L2 loss 23.56, FR validation L2 loss 26.86, FNR 23.58 %
[03/16/2021 23:10:26] {complexTrain.py:233} INFO - Epochs: 57 / 410, Time: 77.9, FR training L2 loss 23.59, FR validation L2 loss 26.81, FNR 23.03 %
[03/16/2021 23:11:44] {complexTrain.py:233} INFO - Epochs: 58 / 410, Time: 77.5, FR training L2 loss 23.22, FR validation L2 loss 26.72, FNR 22.82 %
[03/16/2021 23:13:02] {complexTrain.py:233} INFO - Epochs: 59 / 410, Time: 77.9, FR training L2 loss 22.99, FR validation L2 loss 26.72, FNR 22.57 %
[03/16/2021 23:14:19] {complexTrain.py:233} INFO - Epochs: 60 / 410, Time: 77.6, FR training L2 loss 22.99, FR validation L2 loss 26.71, FNR 22.39 %
[03/16/2021 23:15:37] {complexTrain.py:233} INFO - Epochs: 61 / 410, Time: 77.6, FR training L2 loss 22.88, FR validation L2 loss 26.84, FNR 22.64 %
[03/16/2021 23:16:55] {complexTrain.py:233} INFO - Epochs: 62 / 410, Time: 77.8, FR training L2 loss 23.02, FR validation L2 loss 26.92, FNR 22.47 %
[03/16/2021 23:18:13] {complexTrain.py:233} INFO - Epochs: 63 / 410, Time: 77.9, FR training L2 loss 22.95, FR validation L2 loss 26.80, FNR 22.79 %
[03/16/2021 23:19:30] {complexTrain.py:233} INFO - Epochs: 64 / 410, Time: 77.7, FR training L2 loss 22.83, FR validation L2 loss 26.73, FNR 22.31 %
[03/16/2021 23:20:48] {complexTrain.py:233} INFO - Epochs: 65 / 410, Time: 77.6, FR training L2 loss 22.91, FR validation L2 loss 26.85, FNR 22.65 %
[03/16/2021 23:22:06] {complexTrain.py:233} INFO - Epochs: 66 / 410, Time: 77.7, FR training L2 loss 22.60, FR validation L2 loss 26.86, FNR 22.45 %
[03/16/2021 23:23:23] {complexTrain.py:233} INFO - Epochs: 67 / 410, Time: 77.7, FR training L2 loss 22.58, FR validation L2 loss 26.90, FNR 22.61 %
[03/16/2021 23:24:41] {complexTrain.py:233} INFO - Epochs: 68 / 410, Time: 77.8, FR training L2 loss 22.56, FR validation L2 loss 26.87, FNR 22.77 %
[03/16/2021 23:25:59] {complexTrain.py:233} INFO - Epochs: 69 / 410, Time: 77.8, FR training L2 loss 22.50, FR validation L2 loss 26.78, FNR 22.99 %
[03/16/2021 23:27:17] {complexTrain.py:233} INFO - Epochs: 70 / 410, Time: 77.6, FR training L2 loss 22.59, FR validation L2 loss 26.82, FNR 22.93 %
[03/16/2021 23:28:35] {complexTrain.py:233} INFO - Epochs: 71 / 410, Time: 77.9, FR training L2 loss 22.54, FR validation L2 loss 26.93, FNR 22.71 %
[03/16/2021 23:29:52] {complexTrain.py:233} INFO - Epochs: 72 / 410, Time: 77.8, FR training L2 loss 22.59, FR validation L2 loss 26.83, FNR 23.21 %
[03/16/2021 23:31:10] {complexTrain.py:233} INFO - Epochs: 73 / 410, Time: 78.1, FR training L2 loss 22.52, FR validation L2 loss 26.92, FNR 22.98 %
[03/16/2021 23:32:30] {complexTrain.py:233} INFO - Epochs: 74 / 410, Time: 79.5, FR training L2 loss 22.36, FR validation L2 loss 26.86, FNR 22.73 %
[03/16/2021 23:33:52] {complexTrain.py:233} INFO - Epochs: 75 / 410, Time: 82.3, FR training L2 loss 22.29, FR validation L2 loss 26.86, FNR 22.80 %
[03/16/2021 23:35:14] {complexTrain.py:233} INFO - Epochs: 76 / 410, Time: 82.1, FR training L2 loss 22.21, FR validation L2 loss 26.84, FNR 22.88 %
[03/16/2021 23:36:36] {complexTrain.py:233} INFO - Epochs: 77 / 410, Time: 81.9, FR training L2 loss 22.33, FR validation L2 loss 26.93, FNR 22.81 %
[03/16/2021 23:38:01] {complexTrain.py:233} INFO - Epochs: 78 / 410, Time: 85.0, FR training L2 loss 22.19, FR validation L2 loss 26.93, FNR 22.69 %
[03/16/2021 23:39:24] {complexTrain.py:233} INFO - Epochs: 79 / 410, Time: 83.1, FR training L2 loss 22.35, FR validation L2 loss 26.88, FNR 22.72 %
[03/16/2021 23:40:48] {complexTrain.py:233} INFO - Epochs: 80 / 410, Time: 84.0, FR training L2 loss 22.31, FR validation L2 loss 27.01, FNR 22.76 %
[03/16/2021 23:42:15] {complexTrain.py:233} INFO - Epochs: 81 / 410, Time: 86.4, FR training L2 loss 22.31, FR validation L2 loss 26.95, FNR 22.86 %
[03/16/2021 23:43:38] {complexTrain.py:233} INFO - Epochs: 82 / 410, Time: 83.4, FR training L2 loss 22.30, FR validation L2 loss 26.97, FNR 22.87 %
[03/16/2021 23:45:03] {complexTrain.py:233} INFO - Epochs: 83 / 410, Time: 84.7, FR training L2 loss 22.15, FR validation L2 loss 27.01, FNR 22.55 %
[03/16/2021 23:46:24] {complexTrain.py:233} INFO - Epochs: 84 / 410, Time: 81.7, FR training L2 loss 22.27, FR validation L2 loss 26.98, FNR 22.62 %
[03/16/2021 23:47:47] {complexTrain.py:233} INFO - Epochs: 85 / 410, Time: 82.5, FR training L2 loss 22.16, FR validation L2 loss 26.94, FNR 22.69 %
[03/16/2021 23:49:09] {complexTrain.py:233} INFO - Epochs: 86 / 410, Time: 81.8, FR training L2 loss 22.19, FR validation L2 loss 26.96, FNR 22.81 %
[03/16/2021 23:50:31] {complexTrain.py:233} INFO - Epochs: 87 / 410, Time: 82.5, FR training L2 loss 22.36, FR validation L2 loss 26.95, FNR 22.83 %
[03/16/2021 23:51:53] {complexTrain.py:233} INFO - Epochs: 88 / 410, Time: 82.1, FR training L2 loss 22.15, FR validation L2 loss 26.96, FNR 22.80 %
[03/16/2021 23:53:15] {complexTrain.py:233} INFO - Epochs: 89 / 410, Time: 81.8, FR training L2 loss 22.14, FR validation L2 loss 26.96, FNR 22.87 %
[03/16/2021 23:54:37] {complexTrain.py:233} INFO - Epochs: 90 / 410, Time: 81.8, FR training L2 loss 22.15, FR validation L2 loss 26.96, FNR 22.91 %
[03/16/2021 23:55:59] {complexTrain.py:233} INFO - Epochs: 91 / 410, Time: 82.5, FR training L2 loss 22.22, FR validation L2 loss 26.97, FNR 22.87 %
[03/16/2021 23:57:21] {complexTrain.py:233} INFO - Epochs: 92 / 410, Time: 81.9, FR training L2 loss 22.13, FR validation L2 loss 27.02, FNR 22.89 %
[03/16/2021 23:58:43] {complexTrain.py:233} INFO - Epochs: 93 / 410, Time: 81.5, FR training L2 loss 22.09, FR validation L2 loss 26.97, FNR 22.95 %
[03/16/2021 23:59:59] {complexTrain.py:233} INFO - Epochs: 94 / 410, Time: 76.2, FR training L2 loss 22.10, FR validation L2 loss 26.97, FNR 22.81 %
[03/17/2021 00:01:15] {complexTrain.py:233} INFO - Epochs: 95 / 410, Time: 76.1, FR training L2 loss 22.20, FR validation L2 loss 26.98, FNR 22.86 %
[03/17/2021 00:02:31] {complexTrain.py:233} INFO - Epochs: 96 / 410, Time: 76.0, FR training L2 loss 21.97, FR validation L2 loss 26.98, FNR 22.60 %
[03/17/2021 00:03:46] {complexTrain.py:233} INFO - Epochs: 97 / 410, Time: 74.8, FR training L2 loss 22.05, FR validation L2 loss 26.92, FNR 22.79 %
[03/17/2021 00:05:01] {complexTrain.py:233} INFO - Epochs: 98 / 410, Time: 75.0, FR training L2 loss 22.09, FR validation L2 loss 26.96, FNR 22.59 %
[03/17/2021 00:06:16] {complexTrain.py:233} INFO - Epochs: 99 / 410, Time: 74.8, FR training L2 loss 22.05, FR validation L2 loss 26.96, FNR 22.62 %
[03/17/2021 00:07:31] {complexTrain.py:233} INFO - Epochs: 100 / 410, Time: 75.9, FR training L2 loss 22.18, FR validation L2 loss 27.05, FNR 22.84 %
[03/17/2021 00:08:48] {complexTrain.py:233} INFO - Epochs: 101 / 410, Time: 76.3, FR training L2 loss 22.15, FR validation L2 loss 26.98, FNR 22.87 %
[03/17/2021 00:10:04] {complexTrain.py:233} INFO - Epochs: 102 / 410, Time: 76.2, FR training L2 loss 22.15, FR validation L2 loss 27.04, FNR 22.76 %
